,Brazilian Bovespa,DJIA,Japan Nikkei,Shanghai Composite,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,Taiwan Index,IBEXSpainIndex,ATX Austria,SwissMarketIndex,CRUDE WTI PRICE,GOLD PRICE,COPPER SPOT PRICE,Euros per One DOllar,Yuan per One Dollar,Yen per One Dollar,Peso per One Dollar,Real per One Dollar,South Korea Won per One Dollar,IndiaRupee per One Dollar,SwissFranc per One Dollar,Malaysia per One Dollar,ThaiBhat per One Dollar,CanadianDol per One US Dollar,Singapore Dol per One Dollar,DanishKroner per One Dollar,NewZealandDollar per One Dollar,SriLanka Currency per One Dollar,Pound (GBP) per One Dollar,Norway currency per One Dollar,HongKong currency per One Dollar,SouthAfrica rand per One Dollar,Sweden currency per One Dollar,10YRUSTreasuryYield,2YearUSTreasury Yield,AAA Corporate Bond Yield -- US Moody's,CCC bond yield -- Bank of America US High Yield,Moody's BAA Yield,"BofA Merrill Lynch US Corporate BBB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch US High Yield BB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Asia Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted",U.S.SpotSilverPrices,"LIBOR (1-month), based on Euro",Soybean Price,"5-Year, 5-Year Forward Inflation Expectation Rate","10-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","5-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","Henry Hub Natural Gas Spot Price, Dollars per Million BTU, Daily, Not Seasonally Adjusted","Wilshire US Real Estate Investment Trust Price Index (Wilshire US REIT)?, Index, Daily, Not Seasonally Adjusted","Wilshire US Small-Cap Price Index?, Index, Daily, Not Seasonally Adjusted",Wilshire US Micro Cap,WilshireMidCapUS,CORNPRICESPOT,"TED Spread, Percent, Daily, Not Seasonally Adjusted","Bank Prime Loan Rate, Percent, Daily, Not Seasonally Adjusted","CBOE Volatility Index: VIX?, Index, Daily, Not Seasonally Adjusted","Economic Policy Uncertainty Index for United States, Index, Daily, Not Seasonally Adjusted",
BOVESPA OPEN,1,0.424709167,0.28101188,0.489047793,0.358079789,0.368738407,0.507588137,0.962725477,0.880911577,0.72172574,0.665927609,0.777111697,0.698103198,0.652223879,0.944154578,0.786946556,0.683119427,0.381238745,0.492667011,0.556956797,-0.857723103,0.853372072,-0.710260228,-0.806894183,-0.478874956,0.534558976,-0.842440479,-0.114347185,-0.186356669,-0.720134781,-0.771784802,-0.878995486,-0.800908169,-0.847734748,-0.70963663,-0.425983993,0.93001111,0.027950976,-0.601006924,-0.294316263,0.221959962,-0.391862197,-0.220393128,-0.057039788,-0.301796382,0.076414151,0.122474349,0.302691939,0.306463951,0.260111628,-0.046312001,0.321374355,-0.073952183,0.693251067,0.022007115,-0.126835333,-0.173823958,-0.107124199,0.184939195,0.556059506,0.270532058,0.5776629,0.792413536,0.27577377,0.041137174,0.24021271,-0.155687252,BOVESPA OPEN
DJIA Open,0.424709167,1,0.834629278,0.364910751,0.915814267,0.898897405,-0.056584477,0.538204766,0.526480406,0.754141277,0.866624338,0.802947942,0.731562482,0.813798544,0.556245322,0.68137938,0.864670164,0.769703785,0.898040541,0.274376469,-0.10519216,0.656990602,-0.332712563,0.075882211,0.336188056,-0.276327246,-0.442542888,-0.787201595,-0.66578414,-0.105470034,-0.305108883,-0.430501843,-0.533123143,-0.222807432,-0.329543056,-0.64027849,0.2362808,-0.664032628,-0.434600143,0.238107774,-0.505030081,-0.52504597,0.581428407,-0.637954554,-0.164461281,-0.669156922,-0.525798627,-0.267001203,-0.449650134,-0.302845255,-0.64644329,0.547742151,0.526864588,0.175523285,0.486651062,0.616994308,0.592411229,0.326532139,0.841866019,0.87227305,0.874591558,0.872185663,0.332493431,0.063778674,0.739775935,-0.497745794,-0.204088161,DJIA Open
NIKKEI225,0.28101188,0.834629278,1,0.495532172,0.925262492,0.935382661,0.071544254,0.410748492,0.327612494,0.75774978,0.837333776,0.759126078,0.731551614,0.841541497,0.439910167,0.464166605,0.804517244,0.77920041,0.894108699,0.421321815,-0.061381762,0.578850234,-0.290393788,0.102786647,0.525475573,-0.478779599,-0.461808842,-0.880510356,-0.680378211,-0.012604385,-0.283128273,-0.352585647,-0.532863327,-0.201392353,-0.283657293,-0.571704577,0.123573253,-0.754217727,-0.446364371,0.233062139,-0.484222899,-0.530082689,0.729610462,-0.824691696,0.041124015,-0.614846541,-0.379941348,-0.009133981,-0.231881431,-0.041820612,-0.450223573,0.678842529,0.726889124,0.006195543,0.40010943,0.490463482,0.466186198,0.412720022,0.904745034,0.830169751,0.8423955,0.821968097,0.212949465,0.302364333,0.895515312,-0.342664239,-0.264748252,NIKKEI225
ShanghaiComposite Open,0.489047793,0.364910751,0.495532172,1,0.455785055,0.491733424,0.395020517,0.611505503,0.471097317,0.562165484,0.560612298,0.579469603,0.582355279,0.513737001,0.54868229,0.441806009,0.627460537,0.513193276,0.630683521,0.423174398,-0.548398847,0.600872603,-0.361560515,-0.409479293,0.012464213,0.116952762,-0.576126932,-0.298254831,0.028922666,-0.295524621,-0.430100095,-0.454330591,-0.506800598,-0.509833883,-0.355898752,-0.106282895,0.446315115,-0.117945163,-0.323165011,-0.169861508,0.219338186,-0.249534865,0.159001163,-0.421993139,-0.045950247,-0.004013356,0.133100581,0.369270083,0.25485363,0.344244326,0.037102267,0.512107166,0.23801672,0.121073564,-0.033967721,-0.113170789,-0.131723498,-0.008908093,0.477490004,0.480519177,0.33962827,0.468499501,0.515466088,0.194440775,0.421877689,0.069494099,-0.165367105,ShanghaiComposite Open
Stoxx Europe 50,0.358079789,0.915814267,0.925262492,0.455785055,1,0.986087659,0.03669019,0.480922002,0.424485037,0.785849532,0.914897489,0.830442987,0.741825708,0.844189588,0.520075707,0.586535314,0.884741026,0.833511749,0.938113712,0.349416733,-0.099254586,0.63252622,-0.301846719,0.09772111,0.46395153,-0.378721809,-0.462437184,-0.849915755,-0.66940944,-0.04247294,-0.268893933,-0.376848056,-0.52889813,-0.200967984,-0.29615377,-0.58641662,0.184687497,-0.726035492,-0.441623358,0.196971886,-0.444835813,-0.499687804,0.648338607,-0.809569473,-0.078328847,-0.59729761,-0.428450529,-0.095165141,-0.311215009,-0.146209045,-0.532785098,0.664399582,0.662228353,0.078713556,0.376896236,0.537300492,0.535892572,0.431470987,0.915901429,0.876278847,0.874444122,0.876746974,0.250196946,0.187408305,0.881423586,-0.45900689,-0.251717689,Stoxx Europe 50
CAC40 Open,0.368738407,0.898897405,0.935382661,0.491733424,0.986087659,1,0.074774901,0.496132987,0.435054682,0.807963644,0.914256208,0.834406166,0.755083771,0.862042086,0.535481995,0.580142698,0.881952879,0.840545726,0.943481516,0.385589875,-0.114247668,0.647718644,-0.326869733,0.071140712,0.440497057,-0.369621394,-0.492964045,-0.854568388,-0.663282883,-0.070933064,-0.28997447,-0.388637885,-0.553414175,-0.231684076,-0.320787537,-0.598401514,0.198297917,-0.728019712,-0.463592205,0.186996629,-0.439571161,-0.518238714,0.650603265,-0.821252212,-0.081434016,-0.594033863,-0.420741556,-0.071002685,-0.29399628,-0.119757814,-0.529085729,0.664868854,0.66008556,0.064683548,0.374397665,0.527878941,0.524816458,0.438760481,0.932482581,0.898137783,0.8868331,0.897041788,0.277920741,0.195604222,0.886560801,-0.453042324,-0.262982844,CAC40 Open
TelAvivOpen,0.507588137,-0.056584477,0.071544254,0.395020517,0.03669019,0.074774901,1,0.488325433,0.41709333,0.399340419,0.24264981,0.316186397,0.310145521,0.284793002,0.444045647,0.135777085,0.276901951,0.203731736,0.176032818,0.554664512,-0.46842967,0.490442414,-0.536317506,-0.601111093,-0.532700559,0.425903876,-0.633469425,0.040357318,0.045608709,-0.596350924,-0.393219989,-0.402817763,-0.606367476,-0.585466593,-0.530416665,-0.217111621,0.527223701,0.111582596,-0.399784799,-0.569416631,0.165208923,-0.222458823,-0.295949054,-0.141381534,-0.241928863,0.293867919,0.287227355,0.549271176,0.507205245,0.530370387,0.104188115,0.205837672,-0.1610695,0.29307742,-0.109964305,-0.202668717,-0.215191375,0.151747039,0.01519427,0.20995288,0.033113999,0.212054048,0.23317369,0.324623705,-0.014881733,0.283276283,-0.28030016,TelAvivOpen
IPCMexicoOpen,0.962725477,0.538204766,0.410748492,0.611505503,0.480922002,0.496132987,0.488325433,1,0.866456696,0.820871121,0.766172547,0.859979867,0.80239494,0.752446465,0.943278546,0.769932876,0.781504739,0.461025458,0.625300291,0.635516965,-0.843305716,0.896251898,-0.74027027,-0.770366071,-0.385837152,0.409534354,-0.887725154,-0.258006267,-0.25887194,-0.719524385,-0.810551541,-0.892359828,-0.847757519,-0.871054454,-0.738712052,-0.505777451,0.898697122,-0.096724886,-0.676454449,-0.193932168,0.162522194,-0.486137651,-0.1188169,-0.178517997,-0.310665226,-0.039812131,0.029460455,0.279288449,0.242590718,0.231536144,-0.103912252,0.444818636,0.058289757,0.635037938,0.095315361,-0.037288866,-0.088664869,0.000514829,0.339533976,0.666023591,0.382876785,0.687686027,0.824232703,0.289263858,0.17230363,0.161034343,-0.169252167,IPCMexicoOpen
MervalAregentinaOpen,0.880911577,0.526480406,0.327612494,0.471097317,0.424485037,0.435054682,0.41709333,0.866456696,1,0.656697301,0.653982731,0.728164953,0.589519013,0.641324011,0.918750424,0.868582727,0.685492172,0.569413374,0.576868591,0.364348072,-0.645036038,0.833106567,-0.491167594,-0.553504519,-0.395188162,0.474866167,-0.707650407,-0.213055373,-0.135195162,-0.531218842,-0.559109367,-0.665412073,-0.705984077,-0.640574944,-0.489714704,-0.426413356,0.76818644,0.053366461,-0.423066416,-0.305195247,-0.024712008,-0.267204624,-0.040618641,-0.17677086,-0.425042379,-0.15119458,-0.159925242,0.008758494,0.000825996,-0.02578394,-0.321628666,0.134301577,-0.180897739,0.448404845,0.12509493,0.087036302,0.058998218,-0.122190327,0.324643337,0.641348471,0.45785423,0.6415895,0.786672582,0.008154996,0.175951188,-0.049643046,-0.12645271,MervalAregentinaOpen
CanadaTSXOpen,0.72172574,0.754141277,0.75774978,0.562165484,0.785849532,0.807963644,0.399340419,0.820871121,0.656697301,1,0.923917864,0.951794359,0.951177306,0.95786195,0.775653364,0.61525153,0.882078305,0.612404104,0.822980735,0.758275833,-0.535067829,0.852052875,-0.717371431,-0.458590847,-0.015952109,-0.069934364,-0.855311314,-0.670413916,-0.638799517,-0.557262576,-0.735403923,-0.772059394,-0.874487616,-0.712279202,-0.71296066,-0.732258809,0.603726455,-0.535824338,-0.793449572,0.031979965,-0.184938326,-0.708239821,0.265974311,-0.522189593,-0.203083682,-0.374081953,-0.216750167,0.136216537,-0.014683311,0.078322522,-0.363457409,0.701780066,0.494721642,0.448415913,0.311311999,0.316807153,0.278357536,0.380087626,0.717970704,0.901070468,0.702255471,0.920967379,0.571624794,0.378022191,0.549096207,-0.128191497,-0.27276804,CanadaTSXOpen
