Date,BOVESPA OPEN,DJIA Open,NIKKEI225,ShanghaiComposite Open,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,TaiwanTWIIIndex,IBEXSpainIndex,ATX Austria,SwissMarketIndex
1/4/00,16908,11349.75,19002.86,1891.204956,4657.83,5922.22998,501.66,7074.709961,550.840027,8271.700195,3093.699951,6747.240234,177.711,252.78,1028.329956,8644.910156,11530,1100.030029,7484.799805
1/5/00,15871,10989.37012,18542.55,1910.420044,4541.75,5521.830078,480.67,6674.930176,522.580017,8100.200195,3018.699951,6585.850098,179.01,246.98,1006.869995,8690.599609,11068.09961,1098.369995,7153.100098
1/6/00,16237,11113.37012,18168.27,1909.237061,4500.69,5485.930176,476.79,6784,533.210022,8137,2999.300049,6501.450195,185.52,249.47,1013.950012,8900.55957,10882.7002,1096.76001,7177.200195
1/7/00,16125,11247.05957,18193.41,1904.084961,4648.27,5423.879883,490.03,6768.859863,528.469971,8193.400391,3023.399902,6489.939941,185.52,251.79,949.169983,8853.429688,11120.59961,1094.109985,7338.700195
1/10/00,16325,11532.48047,#N/A,1938.843018,4714.03,5625.819824,498.23,7047.919922,522.940002,8544.299805,3084,6785.470215,192.25,256.63,979.669983,8941.929688,11173.29981,1087.390015,7518.700195
1/11/00,17045,11568.46973,18850.92,1952.259033,4671.5,5726.509766,496.7,7332.339844,519.570007,8581.599609,3160.800049,6926.040039,182.33,257.89,992.169983,9254.179688,10947.09961,1095.300049,7440.799805
1/12/00,16574,11506.73047,18677.42,1965.230957,4649.3,5541.22998,500,7153.859863,520.890015,8444.299805,3088.399902,6878.919922,189.2,254.17,957.97998,8964.780273,10851.79981,1108.609985,7374.299805
1/13/00,16663,11558.24023,18833.29,1978.552002,4688.35,5586.25,514.97,7174.330078,520.919983,8423.700195,3078.899902,6913.129883,195.86,256.4,955.059998,9215.759766,10976.29981,1116.839966,7451.799805
1/14/00,17306,11619.34961,18956.55,1981.776001,4829.36,5669.140137,519.13,7278.609863,560.070007,8531.200195,3115.399902,6960.290039,202.71,256.24,958.820007,9219.370117,11191.5,1150.069946,7483.700195
1/17/00,17678,11719.19043,19437.23,1992.894043,4884.5,5834.75,512.68,7380.620117,568.960022,8357.5,3121.5,7177.47998,197.91,257.75,962.669983,9256.570312,11285.59961,1147.349976,7536.200195
1/18/00,18062,11535.24023,19196.57,1982.496948,4761,5859.439941,521.63,7446.890137,569.900024,8432.200195,3128,7262.209961,194.58,253.25,992.309998,9353.889648,11066.29981,1143.579956,7510.899902
1/19/00,17905,11490.29004,18897.75,2000.329956,4768.37,5664.919922,527.31,7303.009766,577.900024,8624.400391,3080.5,7065.310059,183.63,252.77,969.309998,9255.700195,11120.7002,1142.030029,7385.899902
